DATE,Server Name,Data IN,Data OUT,Total
07-24-17,vpc-prod-vertex01,3.69 GiB,7.14 GiB,10.84 GiB
07-24-17,vpc-prod-vertex02,3.34 GiB,6.42 GiB,9.76 GiB
07-24-17,vpc-prod-vertex03,6.35 GiB,12.20 GiB,18.55 GiB
07-24-17,vpc-prod-vertex04,854.81 MiB,1.61 GiB,2.45 GiB
07-24-17,vpc-prod-vertex05,1.45 GiB,2.79 GiB,4.24 GiB
07-24-17,vpc-prod-vertex06,1.88 GiB,3.61 GiB,5.49 GiB
07-24-17,vpc-prod-vertex07,1.65 GiB,3.17 GiB,4.82 GiB
07-24-17,vpc-prod-vertex08,1.04 GiB,1.99 GiB,3.03 GiB
07-24-17,vpc-prod-vertex09,1.67 GiB,3.20 GiB,4.86 GiB
07-24-17,vpc-prod-vertex10,1.05 GiB,2.00 GiB,3.05 GiB
07-24-17,vpc-prod-vertex11,11.11 GiB,21.39 GiB,32.50 GiB
07-24-17,vpc-prod-vertex12,638.64 MiB,1.20 GiB,1.82 GiB
07-24-17,vpc-prod-vertex13,6.01 GiB,11.53 GiB,17.54 GiB
07-24-17,vpc-prod-vertex14,3.29 GiB,6.34 GiB,9.63 GiB
07-24-17,vpc-prod-vertex15,4.95 GiB,9.53 GiB,14.48 GiB
07-24-17,vpc-prod-vertex16,844.24 MiB,1.59 GiB,2.41 GiB
07-24-17,vpc-prod-vertex21,48.76 GiB,93.69 GiB,142.45 GiB
07-24-17,vpc-prod-vertex23,40.83 GiB,78.44 GiB,119.28 GiB
07-24-17,vpc-prod-vertex25,122.45 GiB,235.03 GiB,357.48 GiB
07-24-17,vpc-prod-vertex26,73.12 GiB,140.37 GiB,213.49 GiB
07-24-17,vpc-prod-vertex28,29.82 GiB,57.28 GiB,87.10 GiB
07-24-17,vpc-prod-vertex29,85.77 GiB,164.80 GiB,250.56 GiB
07-24-17,vpc-prod-vertex31,32.16 GiB,61.80 GiB,93.95 GiB
07-24-17,vpc-prod-vertex32,49.85 GiB,95.84 GiB,145.69 GiB
07-24-17,vpc-prod-vertex34,33.65 GiB,64.63 GiB,98.28 GiB
07-24-17,vpc-prod-vertex35,44.82 GiB,86.25 GiB,131.07 GiB
07-24-17,vpc-prod-vertex40,35.89 GiB,68.96 GiB,104.85 GiB
07-24-17,vpc-prod-vertex41,78.08 GiB,150.13 GiB,228.22 GiB
07-24-17,vpc-prod-vertex43,26.59 GiB,51.18 GiB,77.77 GiB
07-24-17,vpc-prod-vertex46,3.11 GiB,5.97 GiB,9.08 GiB
07-24-17,vpc-prod-vertex49,30.26 GiB,58.12 GiB,88.38 GiB
07-24-17,vpc-prod-vertex52,38.01 GiB,73.01 GiB,111.03 GiB
07-24-17,vpc-prod-vertex55,61.04 GiB,117.34 GiB,178.39 GiB
