DATE,Server Name,Data IN,Data OUT,Total
07-22-17,vpc-prod-vertex01,4.05 GiB,7.86 GiB,11.91 GiB
07-22-17,vpc-prod-vertex02,846.89 MiB,1.60 GiB,2.43 GiB
07-22-17,vpc-prod-vertex03,3.47 GiB,6.74 GiB,10.21 GiB
07-22-17,vpc-prod-vertex04,4.09 GiB,7.92 GiB,12.01 GiB
07-22-17,vpc-prod-vertex05,846.56 MiB,1.59 GiB,2.42 GiB
07-22-17,vpc-prod-vertex06,1.24 GiB,2.39 GiB,3.63 GiB
07-22-17,vpc-prod-vertex07,4.13 GiB,7.98 GiB,12.12 GiB
07-22-17,vpc-prod-vertex08,3.03 GiB,5.84 GiB,8.86 GiB
07-22-17,vpc-prod-vertex09,3.90 GiB,7.51 GiB,11.41 GiB
07-22-17,vpc-prod-vertex10,849.53 MiB,1.60 GiB,2.43 GiB
07-22-17,vpc-prod-vertex11,3.90 GiB,7.56 GiB,11.46 GiB
07-22-17,vpc-prod-vertex12,2.06 GiB,3.96 GiB,6.02 GiB
07-22-17,vpc-prod-vertex13,2.27 GiB,4.39 GiB,6.66 GiB
07-22-17,vpc-prod-vertex14,2.07 GiB,3.99 GiB,6.06 GiB
07-22-17,vpc-prod-vertex15,0 KiB,0 KiB,0 KiB
07-22-17,vpc-prod-vertex16,1.70 GiB,3.29 GiB,4.99 GiB
07-22-17,vpc-prod-vertex21,71.75 GiB,138.30 GiB,210.05 GiB
07-22-17,vpc-prod-vertex23,26.42 GiB,50.93 GiB,77.34 GiB
07-22-17,vpc-prod-vertex25,71.78 GiB,137.94 GiB,209.72 GiB
07-22-17,vpc-prod-vertex26,25.45 GiB,48.90 GiB,74.35 GiB
07-22-17,vpc-prod-vertex28,19.69 GiB,37.93 GiB,57.63 GiB
07-22-17,vpc-prod-vertex29,47.46 GiB,91.56 GiB,139.02 GiB
07-22-17,vpc-prod-vertex31,20.34 GiB,39.20 GiB,59.54 GiB
07-22-17,vpc-prod-vertex32,27.13 GiB,52.33 GiB,79.46 GiB
07-22-17,vpc-prod-vertex34,10.95 GiB,21.09 GiB,32.04 GiB
07-22-17,vpc-prod-vertex35,27.40 GiB,52.85 GiB,80.25 GiB
07-22-17,vpc-prod-vertex40,19.29 GiB,37.16 GiB,56.45 GiB
07-22-17,vpc-prod-vertex41,26.10 GiB,50.33 GiB,76.43 GiB
07-22-17,vpc-prod-vertex43,16.87 GiB,32.51 GiB,49.38 GiB
07-22-17,vpc-prod-vertex46,1.30 GiB,2.52 GiB,3.83 GiB
07-22-17,vpc-prod-vertex49,12.40 GiB,23.87 GiB,36.27 GiB
07-22-17,vpc-prod-vertex52,25.50 GiB,49.13 GiB,74.63 GiB
07-22-17,vpc-prod-vertex55,38.84 GiB,74.95 GiB,113.79 GiB
