DATE,Server Name,Data IN,Data OUT,Total
07-26-17,vpc-prod-vertex01,6.88 GiB,13.62 GiB,20.50 GiB
07-26-17,vpc-prod-vertex02,8.99 GiB,17.78 GiB,26.77 GiB
07-26-17,vpc-prod-vertex03,17.91 GiB,35.41 GiB,53.32 GiB
07-26-17,vpc-prod-vertex04,7.43 GiB,14.75 GiB,22.17 GiB
07-26-17,vpc-prod-vertex05,28.21 GiB,56.03 GiB,84.24 GiB
07-26-17,vpc-prod-vertex06,8.38 GiB,16.63 GiB,25.02 GiB
07-26-17,vpc-prod-vertex07,7.12 GiB,14.16 GiB,21.28 GiB
07-26-17,vpc-prod-vertex08,15.28 GiB,30.44 GiB,45.72 GiB
07-26-17,vpc-prod-vertex09,7.04 GiB,13.96 GiB,21.00 GiB
07-26-17,vpc-prod-vertex10,13.31 GiB,26.37 GiB,39.68 GiB
07-26-17,vpc-prod-vertex11,35.67 GiB,70.75 GiB,106.42 GiB
07-26-17,vpc-prod-vertex12,9.26 GiB,18.44 GiB,27.70 GiB
07-26-17,vpc-prod-vertex13,25.37 GiB,50.40 GiB,75.77 GiB
07-26-17,vpc-prod-vertex14,13.83 GiB,27.53 GiB,41.36 GiB
07-26-17,vpc-prod-vertex15,18.41 GiB,36.67 GiB,55.08 GiB
07-26-17,vpc-prod-vertex21,68.42 GiB,134.60 GiB,203.02 GiB
07-26-17,vpc-prod-vertex23,61.48 GiB,121.22 GiB,182.70 GiB
07-26-17,vpc-prod-vertex25,140.70 GiB,275.58 GiB,416.28 GiB
07-26-17,vpc-prod-vertex26,98.96 GiB,194.63 GiB,293.59 GiB
07-26-17,vpc-prod-vertex28,46.83 GiB,92.43 GiB,139.25 GiB
07-26-17,vpc-prod-vertex29,86.57 GiB,170.28 GiB,256.85 GiB
07-26-17,vpc-prod-vertex31,42.93 GiB,84.89 GiB,127.83 GiB
07-26-17,vpc-prod-vertex32,69.39 GiB,136.64 GiB,206.03 GiB
07-26-17,vpc-prod-vertex34,32.30 GiB,63.77 GiB,96.06 GiB
07-26-17,vpc-prod-vertex35,51.38 GiB,101.49 GiB,152.87 GiB
07-26-17,vpc-prod-vertex40,50.45 GiB,99.58 GiB,150.03 GiB
07-26-17,vpc-prod-vertex41,74.83 GiB,147.77 GiB,222.60 GiB
07-26-17,vpc-prod-vertex43,36.61 GiB,72.53 GiB,109.14 GiB
07-26-17,vpc-prod-vertex46,14.12 GiB,28.08 GiB,42.20 GiB
07-26-17,vpc-prod-vertex49,34.89 GiB,69.07 GiB,103.97 GiB
07-26-17,vpc-prod-vertex52,52.30 GiB,103.02 GiB,155.33 GiB
07-26-17,vpc-prod-vertex55,68.62 GiB,135.15 GiB,203.77 GiB
