DATE,Server Name,Data IN,Data OUT,Total
07-20-17,vpc-prod-vertex01,38.75 GiB,74.26 GiB,113.01 GiB
07-20-17,vpc-prod-vertex02,38.98 GiB,74.77 GiB,113.74 GiB
07-20-17,vpc-prod-vertex03,83.35 GiB,159.96 GiB,243.31 GiB
07-20-17,vpc-prod-vertex04,41.15 GiB,78.81 GiB,119.96 GiB
07-20-17,vpc-prod-vertex05,58.11 GiB,111.31 GiB,169.42 GiB
07-20-17,vpc-prod-vertex06,56.97 GiB,109.19 GiB,166.16 GiB
07-20-17,vpc-prod-vertex07,24.84 GiB,47.58 GiB,72.42 GiB
07-20-17,vpc-prod-vertex08,65.04 GiB,124.71 GiB,189.75 GiB
07-20-17,vpc-prod-vertex09,35.73 GiB,68.47 GiB,104.20 GiB
07-20-17,vpc-prod-vertex10,38.69 GiB,74.11 GiB,112.80 GiB
07-20-17,vpc-prod-vertex11,113.45 GiB,218.24 GiB,331.69 GiB
07-20-17,vpc-prod-vertex12,46.96 GiB,89.93 GiB,136.89 GiB
07-20-17,vpc-prod-vertex13,87.58 GiB,168.16 GiB,255.74 GiB
07-20-17,vpc-prod-vertex14,42.74 GiB,81.82 GiB,124.55 GiB
07-20-17,vpc-prod-vertex15,66.77 GiB,127.99 GiB,194.76 GiB
07-20-17,vpc-prod-vertex16,26.10 GiB,50.04 GiB,76.14 GiB
07-20-17,vpc-prod-vertex21,154.34 GiB,297.49 GiB,451.83 GiB
07-20-17,vpc-prod-vertex23,142.92 GiB,275.16 GiB,418.08 GiB
07-20-17,vpc-prod-vertex25,177.81 GiB,341.69 GiB,519.49 GiB
07-20-17,vpc-prod-vertex26,164.81 GiB,316.07 GiB,480.88 GiB
07-20-17,vpc-prod-vertex28,138.94 GiB,267.51 GiB,406.45 GiB
07-20-17,vpc-prod-vertex29,181.92 GiB,350.81 GiB,532.73 GiB
07-20-17,vpc-prod-vertex31,136.45 GiB,262.52 GiB,398.97 GiB
07-20-17,vpc-prod-vertex32,157.48 GiB,303.26 GiB,460.73 GiB
07-20-17,vpc-prod-vertex34,121.14 GiB,232.92 GiB,354.06 GiB
07-20-17,vpc-prod-vertex35,141.74 GiB,273.01 GiB,414.75 GiB
07-20-17,vpc-prod-vertex40,140.28 GiB,269.94 GiB,410.22 GiB
07-20-17,vpc-prod-vertex41,154.07 GiB,296.67 GiB,450.74 GiB
07-20-17,vpc-prod-vertex43,134.10 GiB,257.94 GiB,392.05 GiB
07-20-17,vpc-prod-vertex46,77.88 GiB,149.37 GiB,227.25 GiB
07-20-17,vpc-prod-vertex49,122.20 GiB,235.01 GiB,357.21 GiB
07-20-17,vpc-prod-vertex52,142.65 GiB,274.53 GiB,417.17 GiB
07-20-17,vpc-prod-vertex55,168.55 GiB,324.81 GiB,493.36 GiB
