DATE,Server Name,Data IN,Data OUT,Total
07-29-17,vpc-prod-vertex01,37.49 GiB,66.60 GiB,104.09 GiB
07-29-17,vpc-prod-vertex02,43.12 GiB,76.55 GiB,119.67 GiB
07-29-17,vpc-prod-vertex03,33.09 GiB,59.77 GiB,92.86 GiB
07-29-17,vpc-prod-vertex04,9.74 GiB,17.83 GiB,27.58 GiB
07-29-17,vpc-prod-vertex05,15.85 GiB,29.01 GiB,44.86 GiB
07-29-17,vpc-prod-vertex06,94.28 GiB,164.96 GiB,259.24 GiB
07-29-17,vpc-prod-vertex07,119.55 GiB,215.49 GiB,335.03 GiB
07-29-17,vpc-prod-vertex08,72.49 GiB,128.80 GiB,201.29 GiB
07-29-17,vpc-prod-vertex09,18.05 GiB,32.64 GiB,50.69 GiB
07-29-17,vpc-prod-vertex10,16.62 GiB,30.00 GiB,46.62 GiB
07-29-17,vpc-prod-vertex11,34.44 GiB,63.96 GiB,98.40 GiB
07-29-17,vpc-prod-vertex12,16.55 GiB,29.89 GiB,46.43 GiB
07-29-17,vpc-prod-vertex13,58.11 GiB,106.11 GiB,164.22 GiB
07-29-17,vpc-prod-vertex14,306.97 GiB,513.45 GiB,820.42 GiB
07-29-17,vpc-prod-vertex15,46.34 GiB,82.25 GiB,128.60 GiB
07-29-17,vpc-prod-vertex16,15.48 GiB,27.89 GiB,43.37 GiB
07-29-17,vpc-prod-vertex21,253.27 GiB,457.60 GiB,710.87 GiB
07-29-17,vpc-prod-vertex23,98.94 GiB,186.21 GiB,285.14 GiB
07-29-17,vpc-prod-vertex25,353.44 GiB,620.93 GiB,974.37 GiB
07-29-17,vpc-prod-vertex26,203.38 GiB,377.73 GiB,581.11 GiB
07-29-17,vpc-prod-vertex28,313.99 GiB,559.33 GiB,873.31 GiB
07-29-17,vpc-prod-vertex29,166.60 GiB,304.93 GiB,471.53 GiB
07-29-17,vpc-prod-vertex31,293.66 GiB,522.80 GiB,816.46 GiB
07-29-17,vpc-prod-vertex32,239.55 GiB,432.46 GiB,672.01 GiB
07-29-17,vpc-prod-vertex34,191.46 GiB,350.35 GiB,541.81 GiB
07-29-17,vpc-prod-vertex35,274.32 GiB,495.69 GiB,770.01 GiB
07-29-17,vpc-prod-vertex40,414.72 GiB,718.99 GiB,1.11 TiB
07-29-17,vpc-prod-vertex41,302.51 GiB,546.74 GiB,849.25 GiB
07-29-17,vpc-prod-vertex43,281.17 GiB,507.89 GiB,789.06 GiB
07-29-17,vpc-prod-vertex46,44.93 GiB,81.02 GiB,125.95 GiB
07-29-17,vpc-prod-vertex49,323.34 GiB,567.27 GiB,890.61 GiB
07-29-17,vpc-prod-vertex52,61.20 GiB,115.32 GiB,176.52 GiB
07-29-17,vpc-prod-vertex55,528.46 GiB,847.95 GiB,1.34 TiB
