DATE,Server Name,Data IN,Data OUT,Total
08-04-17,vpc-prod-vertex01,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex02,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex03,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex04,1.61 GiB,77.48 MiB,1.69 GiB
08-04-17,vpc-prod-vertex05,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex06,1.85 GiB,84.66 MiB,1.94 GiB
08-04-17,vpc-prod-vertex07,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex08,284.04 MiB,60.26 MiB,344.30 MiB
08-04-17,vpc-prod-vertex09,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex10,1.91 GiB,83.19 MiB,1.99 GiB
08-04-17,vpc-prod-vertex11,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex12,1.91 GiB,90.05 MiB,2.00 GiB
08-04-17,vpc-prod-vertex13,1.82 GiB,81.35 MiB,1.90 GiB
08-04-17,vpc-prod-vertex14,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex15,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex16,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex21,288.74 MiB,60.34 MiB,349.08 MiB
08-04-17,vpc-prod-vertex23,1.85 GiB,84.43 MiB,1.94 GiB
08-04-17,vpc-prod-vertex25,12.04 GiB,22.79 GiB,34.82 GiB
08-04-17,vpc-prod-vertex26,275.33 MiB,64.75 MiB,340.08 MiB
08-04-17,vpc-prod-vertex28,175.18 MiB,333.50 MiB,508.68 MiB
08-04-17,vpc-prod-vertex29,662.66 MiB,1.20 GiB,1.84 GiB
08-04-17,vpc-prod-vertex31,11.88 MiB,25.15 MiB,37.03 MiB
08-04-17,vpc-prod-vertex32,241.29 MiB,457.11 MiB,698.41 MiB
08-04-17,vpc-prod-vertex34,169.15 MiB,308.83 MiB,477.98 MiB
08-04-17,vpc-prod-vertex35,246.04 MiB,436.95 MiB,682.99 MiB
08-04-17,vpc-prod-vertex40,193.00 MiB,360.22 MiB,553.22 MiB
08-04-17,vpc-prod-vertex41,187.76 MiB,347.13 MiB,534.89 MiB
08-04-17,vpc-prod-vertex43,85.75 MiB,158.96 MiB,244.71 MiB
08-04-17,vpc-prod-vertex46,499.27 MiB,893.52 MiB,1.36 GiB
08-04-17,vpc-prod-vertex49,0 KiB,0 KiB,0 KiB
08-04-17,vpc-prod-vertex52,176.98 MiB,352.05 MiB,529.03 MiB
08-04-17,vpc-prod-vertex55,107.06 MiB,212.22 MiB,319.28 MiB
