DATE,Server Name,Data IN,Data OUT,Total
07-21-17,vpc-prod-vertex01,827.89 MiB,1.58 GiB,2.38 GiB
07-21-17,vpc-prod-vertex02,2.03 GiB,3.95 GiB,5.99 GiB
07-21-17,vpc-prod-vertex03,9.42 GiB,18.24 GiB,27.66 GiB
07-21-17,vpc-prod-vertex04,1.25 GiB,2.41 GiB,3.66 GiB
07-21-17,vpc-prod-vertex05,3.67 GiB,7.10 GiB,10.77 GiB
07-21-17,vpc-prod-vertex06,842.13 MiB,1.59 GiB,2.42 GiB
07-21-17,vpc-prod-vertex07,2.87 GiB,5.54 GiB,8.41 GiB
07-21-17,vpc-prod-vertex08,1.03 GiB,2.01 GiB,3.04 GiB
07-21-17,vpc-prod-vertex09,1.65 GiB,3.17 GiB,4.82 GiB
07-21-17,vpc-prod-vertex10,2.43 GiB,4.71 GiB,7.14 GiB
07-21-17,vpc-prod-vertex11,20.06 GiB,38.89 GiB,58.95 GiB
07-21-17,vpc-prod-vertex12,1.86 GiB,3.60 GiB,5.45 GiB
07-21-17,vpc-prod-vertex13,9.93 GiB,19.19 GiB,29.12 GiB
07-21-17,vpc-prod-vertex14,3.06 GiB,5.91 GiB,8.98 GiB
07-21-17,vpc-prod-vertex15,4.93 GiB,9.54 GiB,14.47 GiB
07-21-17,vpc-prod-vertex16,1.24 GiB,2.39 GiB,3.63 GiB
07-21-17,vpc-prod-vertex21,66.13 GiB,128.08 GiB,194.20 GiB
07-21-17,vpc-prod-vertex23,50.23 GiB,97.04 GiB,147.27 GiB
07-21-17,vpc-prod-vertex25,148.32 GiB,286.31 GiB,434.63 GiB
07-21-17,vpc-prod-vertex26,66.10 GiB,127.46 GiB,193.56 GiB
07-21-17,vpc-prod-vertex28,44.90 GiB,86.82 GiB,131.73 GiB
07-21-17,vpc-prod-vertex29,107.18 GiB,207.43 GiB,314.60 GiB
07-21-17,vpc-prod-vertex31,34.14 GiB,65.97 GiB,100.11 GiB
07-21-17,vpc-prod-vertex32,54.09 GiB,104.60 GiB,158.69 GiB
07-21-17,vpc-prod-vertex34,29.08 GiB,56.23 GiB,85.31 GiB
07-21-17,vpc-prod-vertex35,56.68 GiB,109.61 GiB,166.29 GiB
07-21-17,vpc-prod-vertex40,45.01 GiB,87.01 GiB,132.02 GiB
07-21-17,vpc-prod-vertex41,62.58 GiB,120.96 GiB,183.54 GiB
07-21-17,vpc-prod-vertex43,43.49 GiB,84.12 GiB,127.61 GiB
07-21-17,vpc-prod-vertex46,5.09 GiB,9.82 GiB,14.91 GiB
07-21-17,vpc-prod-vertex49,30.14 GiB,58.24 GiB,88.38 GiB
07-21-17,vpc-prod-vertex52,47.42 GiB,91.62 GiB,139.03 GiB
07-21-17,vpc-prod-vertex55,67.57 GiB,130.66 GiB,198.23 GiB
