DATE,Server Name,Data IN,Data OUT,Total
07-31-17,vpc-prod-vertex01,82.62 GiB,146.18 GiB,228.81 GiB
07-31-17,vpc-prod-vertex02,94.40 GiB,166.81 GiB,261.21 GiB
07-31-17,vpc-prod-vertex03,89.50 GiB,160.61 GiB,250.11 GiB
07-31-17,vpc-prod-vertex04,52.07 GiB,94.88 GiB,146.94 GiB
07-31-17,vpc-prod-vertex05,66.88 GiB,121.73 GiB,188.61 GiB
07-31-17,vpc-prod-vertex06,123.92 GiB,215.79 GiB,339.71 GiB
07-31-17,vpc-prod-vertex07,151.83 GiB,272.72 GiB,424.56 GiB
07-31-17,vpc-prod-vertex08,133.66 GiB,236.68 GiB,370.34 GiB
07-31-17,vpc-prod-vertex09,63.68 GiB,114.17 GiB,177.85 GiB
07-31-17,vpc-prod-vertex10,66.04 GiB,118.40 GiB,184.44 GiB
07-31-17,vpc-prod-vertex11,70.81 GiB,130.90 GiB,201.71 GiB
07-31-17,vpc-prod-vertex12,82.06 GiB,147.17 GiB,229.23 GiB
07-31-17,vpc-prod-vertex13,109.14 GiB,198.73 GiB,307.86 GiB
07-31-17,vpc-prod-vertex14,262.68 GiB,438.35 GiB,701.03 GiB
07-31-17,vpc-prod-vertex15,123.59 GiB,218.52 GiB,342.11 GiB
07-31-17,vpc-prod-vertex16,48.17 GiB,86.41 GiB,134.58 GiB
07-31-17,vpc-prod-vertex21,220.61 GiB,397.60 GiB,618.21 GiB
07-31-17,vpc-prod-vertex23,124.72 GiB,233.87 GiB,358.59 GiB
07-31-17,vpc-prod-vertex25,297.42 GiB,521.90 GiB,819.33 GiB
07-31-17,vpc-prod-vertex26,166.05 GiB,307.29 GiB,473.33 GiB
07-31-17,vpc-prod-vertex28,259.10 GiB,460.42 GiB,719.51 GiB
07-31-17,vpc-prod-vertex29,180.15 GiB,329.10 GiB,509.25 GiB
07-31-17,vpc-prod-vertex31,248.56 GiB,441.45 GiB,690.01 GiB
07-31-17,vpc-prod-vertex32,227.36 GiB,409.61 GiB,636.97 GiB
07-31-17,vpc-prod-vertex34,153.96 GiB,280.77 GiB,434.72 GiB
07-31-17,vpc-prod-vertex35,247.23 GiB,445.90 GiB,693.13 GiB
07-31-17,vpc-prod-vertex40,349.78 GiB,605.99 GiB,955.77 GiB
07-31-17,vpc-prod-vertex41,257.27 GiB,464.10 GiB,721.38 GiB
07-31-17,vpc-prod-vertex43,241.21 GiB,434.65 GiB,675.87 GiB
07-31-17,vpc-prod-vertex46,101.55 GiB,182.24 GiB,283.78 GiB
07-31-17,vpc-prod-vertex49,255.82 GiB,447.44 GiB,703.26 GiB
07-31-17,vpc-prod-vertex52,96.31 GiB,180.68 GiB,276.99 GiB
07-31-17,vpc-prod-vertex55,549.13 GiB,884.21 GiB,1.40 TiB
