DATE,Server Name,Data IN,Data OUT,Total
08-02-17,vpc-prod-vertex01,38.07 GiB,48.11 GiB,86.17 GiB
08-02-17,vpc-prod-vertex02,38.95 GiB,50.10 GiB,89.05 GiB
08-02-17,vpc-prod-vertex03,14.53 GiB,26.30 GiB,40.83 GiB
08-02-17,vpc-prod-vertex04,21.82 GiB,19.98 GiB,41.81 GiB
08-02-17,vpc-prod-vertex05,8.91 GiB,16.01 GiB,24.93 GiB
08-02-17,vpc-prod-vertex06,63.89 GiB,92.96 GiB,156.85 GiB
08-02-17,vpc-prod-vertex07,60.56 GiB,90.17 GiB,150.73 GiB
08-02-17,vpc-prod-vertex08,54.14 GiB,77.51 GiB,131.64 GiB
08-02-17,vpc-prod-vertex09,32.71 GiB,27.42 GiB,60.13 GiB
08-02-17,vpc-prod-vertex10,33.42 GiB,26.99 GiB,60.41 GiB
08-02-17,vpc-prod-vertex11,44.41 GiB,49.53 GiB,93.94 GiB
08-02-17,vpc-prod-vertex12,38.75 GiB,36.41 GiB,75.16 GiB
08-02-17,vpc-prod-vertex13,41.40 GiB,45.08 GiB,86.48 GiB
08-02-17,vpc-prod-vertex14,276.05 GiB,434.05 GiB,710.11 GiB
08-02-17,vpc-prod-vertex15,46.38 GiB,52.51 GiB,98.89 GiB
08-02-17,vpc-prod-vertex16,33.55 GiB,28.68 GiB,62.23 GiB
08-02-17,vpc-prod-vertex21,113.88 GiB,178.11 GiB,291.99 GiB
08-02-17,vpc-prod-vertex23,83.61 GiB,125.19 GiB,208.80 GiB
08-02-17,vpc-prod-vertex25,564.88 GiB,984.68 GiB,1.51 TiB
08-02-17,vpc-prod-vertex26,97.64 GiB,163.72 GiB,261.36 GiB
08-02-17,vpc-prod-vertex28,300.33 GiB,519.56 GiB,819.90 GiB
08-02-17,vpc-prod-vertex29,110.04 GiB,183.94 GiB,293.97 GiB
08-02-17,vpc-prod-vertex31,245.95 GiB,406.27 GiB,652.22 GiB
08-02-17,vpc-prod-vertex32,223.83 GiB,372.83 GiB,596.67 GiB
08-02-17,vpc-prod-vertex34,85.80 GiB,139.06 GiB,224.86 GiB
08-02-17,vpc-prod-vertex35,239.68 GiB,416.81 GiB,656.48 GiB
08-02-17,vpc-prod-vertex40,494.92 GiB,843.72 GiB,1.31 TiB
08-02-17,vpc-prod-vertex41,288.25 GiB,505.29 GiB,793.53 GiB
08-02-17,vpc-prod-vertex43,261.74 GiB,441.13 GiB,702.87 GiB
08-02-17,vpc-prod-vertex46,37.85 GiB,48.89 GiB,86.74 GiB
08-02-17,vpc-prod-vertex49,286.21 GiB,472.70 GiB,758.90 GiB
08-02-17,vpc-prod-vertex52,57.00 GiB,89.20 GiB,146.20 GiB
08-02-17,vpc-prod-vertex55,641.39 GiB,0.98 TiB,1.60 TiB
