DATE,Server Name,Data IN,Data OUT,Total
08-05-17,vpc-prod-vertex01,562.68 MiB,1.03 GiB,1.58 GiB
08-05-17,vpc-prod-vertex02,205.18 MiB,411.91 MiB,617.09 MiB
08-05-17,vpc-prod-vertex03,768.72 MiB,1.39 GiB,2.14 GiB
08-05-17,vpc-prod-vertex04,1.48 GiB,76.92 MiB,1.55 GiB
08-05-17,vpc-prod-vertex05,0 KiB,0 KiB,0 KiB
08-05-17,vpc-prod-vertex06,1.70 GiB,82.76 MiB,1.78 GiB
08-05-17,vpc-prod-vertex07,370.31 MiB,694.44 MiB,1.04 GiB
08-05-17,vpc-prod-vertex08,284.22 MiB,59.91 MiB,344.14 MiB
08-05-17,vpc-prod-vertex09,0 KiB,0 KiB,0 KiB
08-05-17,vpc-prod-vertex10,1.76 GiB,81.42 MiB,1.84 GiB
08-05-17,vpc-prod-vertex11,516.34 MiB,973.46 MiB,1.45 GiB
08-05-17,vpc-prod-vertex12,1.76 GiB,87.23 MiB,1.85 GiB
08-05-17,vpc-prod-vertex13,1.67 GiB,79.53 MiB,1.74 GiB
08-05-17,vpc-prod-vertex14,187.28 MiB,376.70 MiB,563.98 MiB
08-05-17,vpc-prod-vertex15,218.59 MiB,413.62 MiB,632.22 MiB
08-05-17,vpc-prod-vertex16,0 KiB,0 KiB,0 KiB
08-05-17,vpc-prod-vertex21,290.28 MiB,60.19 MiB,350.47 MiB
08-05-17,vpc-prod-vertex23,1.69 GiB,82.58 MiB,1.77 GiB
08-05-17,vpc-prod-vertex25,10.70 GiB,20.59 GiB,31.28 GiB
08-05-17,vpc-prod-vertex26,286.29 MiB,59.98 MiB,346.27 MiB
08-05-17,vpc-prod-vertex28,1.37 GiB,2.64 GiB,4.00 GiB
08-05-17,vpc-prod-vertex29,3.20 GiB,5.99 GiB,9.19 GiB
08-05-17,vpc-prod-vertex31,2.39 GiB,4.82 GiB,7.21 GiB
08-05-17,vpc-prod-vertex32,2.33 GiB,4.52 GiB,6.85 GiB
08-05-17,vpc-prod-vertex34,1.61 GiB,3.12 GiB,4.73 GiB
08-05-17,vpc-prod-vertex35,1.92 GiB,3.50 GiB,5.42 GiB
08-05-17,vpc-prod-vertex40,2.57 GiB,4.84 GiB,7.41 GiB
08-05-17,vpc-prod-vertex41,1.77 GiB,3.21 GiB,4.98 GiB
08-05-17,vpc-prod-vertex43,1.52 GiB,2.88 GiB,4.40 GiB
08-05-17,vpc-prod-vertex46,1.52 GiB,3.02 GiB,4.55 GiB
08-05-17,vpc-prod-vertex49,1.75 GiB,3.26 GiB,5.01 GiB
08-05-17,vpc-prod-vertex52,2.62 GiB,5.30 GiB,7.92 GiB
08-05-17,vpc-prod-vertex55,2.52 GiB,5.09 GiB,7.62 GiB
