DATE,Server Name,Data IN,Data OUT,Total
07-25-17,vpc-prod-vertex01,419.34 MiB,824.43 MiB,1.21 GiB
07-25-17,vpc-prod-vertex02,2.36 GiB,4.59 GiB,6.95 GiB
07-25-17,vpc-prod-vertex03,7.96 GiB,15.40 GiB,23.36 GiB
07-25-17,vpc-prod-vertex04,1.87 GiB,3.60 GiB,5.47 GiB
07-25-17,vpc-prod-vertex05,2.87 GiB,5.56 GiB,8.43 GiB
07-25-17,vpc-prod-vertex06,2.85 GiB,5.52 GiB,8.38 GiB
07-25-17,vpc-prod-vertex07,215.62 MiB,413.43 MiB,629.05 MiB
07-25-17,vpc-prod-vertex08,2.06 GiB,3.99 GiB,6.05 GiB
07-25-17,vpc-prod-vertex09,3.69 GiB,7.17 GiB,10.87 GiB
07-25-17,vpc-prod-vertex10,1.42 GiB,2.78 GiB,4.20 GiB
07-25-17,vpc-prod-vertex11,13.84 GiB,26.78 GiB,40.62 GiB
07-25-17,vpc-prod-vertex12,428.33 MiB,826.66 MiB,1.23 GiB
07-25-17,vpc-prod-vertex13,4.88 GiB,9.45 GiB,14.33 GiB
07-25-17,vpc-prod-vertex14,2.06 GiB,3.98 GiB,6.04 GiB
07-25-17,vpc-prod-vertex15,4.63 GiB,8.98 GiB,13.61 GiB
07-25-17,vpc-prod-vertex16,1.64 GiB,3.17 GiB,4.81 GiB
07-25-17,vpc-prod-vertex21,46.68 GiB,90.50 GiB,137.18 GiB
07-25-17,vpc-prod-vertex23,48.91 GiB,94.78 GiB,143.69 GiB
07-25-17,vpc-prod-vertex25,115.19 GiB,222.81 GiB,338.00 GiB
07-25-17,vpc-prod-vertex26,59.83 GiB,115.54 GiB,175.37 GiB
07-25-17,vpc-prod-vertex28,30.25 GiB,58.73 GiB,88.98 GiB
07-25-17,vpc-prod-vertex29,81.55 GiB,157.95 GiB,239.50 GiB
07-25-17,vpc-prod-vertex31,29.92 GiB,57.90 GiB,87.82 GiB
07-25-17,vpc-prod-vertex32,37.26 GiB,72.11 GiB,109.36 GiB
07-25-17,vpc-prod-vertex34,20.31 GiB,39.31 GiB,59.62 GiB
07-25-17,vpc-prod-vertex35,45.34 GiB,87.83 GiB,133.17 GiB
07-25-17,vpc-prod-vertex40,32.83 GiB,63.55 GiB,96.38 GiB
07-25-17,vpc-prod-vertex41,51.46 GiB,99.69 GiB,151.15 GiB
07-25-17,vpc-prod-vertex43,24.09 GiB,46.61 GiB,70.70 GiB
07-25-17,vpc-prod-vertex46,9.38 GiB,18.13 GiB,27.51 GiB
07-25-17,vpc-prod-vertex49,20.47 GiB,39.73 GiB,60.19 GiB
07-25-17,vpc-prod-vertex52,39.81 GiB,77.03 GiB,116.84 GiB
07-25-17,vpc-prod-vertex55,63.09 GiB,122.21 GiB,185.30 GiB
