DATE,Server Name,Data IN,Data OUT,Total
08-06-17,vpc-prod-vertex01,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex02,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex03,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex04,1.31 GiB,75.82 MiB,1.39 GiB
08-06-17,vpc-prod-vertex05,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex06,1.53 GiB,81.26 MiB,1.61 GiB
08-06-17,vpc-prod-vertex07,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex08,281.23 MiB,58.99 MiB,340.22 MiB
08-06-17,vpc-prod-vertex09,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex10,1.60 GiB,80.05 MiB,1.68 GiB
08-06-17,vpc-prod-vertex11,221.65 MiB,409.92 MiB,631.57 MiB
08-06-17,vpc-prod-vertex12,1.60 GiB,85.28 MiB,1.68 GiB
08-06-17,vpc-prod-vertex13,1.48 GiB,77.96 MiB,1.56 GiB
08-06-17,vpc-prod-vertex14,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex15,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex16,0 KiB,0 KiB,0 KiB
08-06-17,vpc-prod-vertex21,288.01 MiB,59.47 MiB,347.48 MiB
08-06-17,vpc-prod-vertex23,1.53 GiB,81.13 MiB,1.61 GiB
08-06-17,vpc-prod-vertex25,6.68 GiB,12.78 GiB,19.46 GiB
08-06-17,vpc-prod-vertex26,283.47 MiB,59.10 MiB,342.58 MiB
08-06-17,vpc-prod-vertex28,203.93 MiB,389.56 MiB,593.48 MiB
08-06-17,vpc-prod-vertex29,877.87 MiB,1.56 GiB,2.41 GiB
08-06-17,vpc-prod-vertex31,788.18 MiB,1.47 GiB,2.24 GiB
08-06-17,vpc-prod-vertex32,137.98 MiB,252.04 MiB,390.01 MiB
08-06-17,vpc-prod-vertex34,367.10 MiB,680.11 MiB,1.02 GiB
08-06-17,vpc-prod-vertex35,1.12 GiB,2.00 GiB,3.12 GiB
08-06-17,vpc-prod-vertex40,396.35 MiB,717.28 MiB,1.09 GiB
08-06-17,vpc-prod-vertex41,83.13 MiB,143.82 MiB,226.94 MiB
08-06-17,vpc-prod-vertex43,377.40 MiB,679.68 MiB,1.03 GiB
08-06-17,vpc-prod-vertex46,993.17 MiB,1.85 GiB,2.82 GiB
08-06-17,vpc-prod-vertex49,909.52 MiB,1.64 GiB,2.53 GiB
08-06-17,vpc-prod-vertex52,737.42 MiB,1.39 GiB,2.11 GiB
08-06-17,vpc-prod-vertex55,313.45 MiB,614.18 MiB,927.63 MiB
