DATE,Server Name,Data IN,Data OUT,Total
07-27-17,vpc-prod-vertex01,173.09 GiB,322.27 GiB,495.36 GiB
07-27-17,vpc-prod-vertex02,190.76 GiB,357.04 GiB,547.80 GiB
07-27-17,vpc-prod-vertex03,228.33 GiB,441.05 GiB,669.38 GiB
07-27-17,vpc-prod-vertex04,188.21 GiB,352.77 GiB,540.98 GiB
07-27-17,vpc-prod-vertex05,212.07 GiB,408.80 GiB,620.87 GiB
07-27-17,vpc-prod-vertex06,193.53 GiB,362.68 GiB,556.21 GiB
07-27-17,vpc-prod-vertex07,177.29 GiB,330.56 GiB,507.85 GiB
07-27-17,vpc-prod-vertex08,205.68 GiB,387.17 GiB,592.85 GiB
07-27-17,vpc-prod-vertex09,192.56 GiB,359.80 GiB,552.36 GiB
07-27-17,vpc-prod-vertex10,192.21 GiB,359.96 GiB,552.18 GiB
07-27-17,vpc-prod-vertex11,248.69 GiB,473.26 GiB,721.95 GiB
07-27-17,vpc-prod-vertex12,200.41 GiB,376.71 GiB,577.13 GiB
07-27-17,vpc-prod-vertex13,237.48 GiB,451.75 GiB,689.22 GiB
07-27-17,vpc-prod-vertex14,265.38 GiB,487.94 GiB,753.32 GiB
07-27-17,vpc-prod-vertex15,212.94 GiB,402.13 GiB,615.07 GiB
07-27-17,vpc-prod-vertex16,68.63 GiB,127.69 GiB,196.32 GiB
07-27-17,vpc-prod-vertex21,263.66 GiB,502.89 GiB,766.54 GiB
07-27-17,vpc-prod-vertex23,247.50 GiB,472.86 GiB,720.35 GiB
07-27-17,vpc-prod-vertex25,306.80 GiB,585.00 GiB,891.80 GiB
07-27-17,vpc-prod-vertex26,261.99 GiB,500.74 GiB,762.73 GiB
07-27-17,vpc-prod-vertex28,292.89 GiB,556.22 GiB,849.12 GiB
07-27-17,vpc-prod-vertex29,246.05 GiB,471.01 GiB,717.06 GiB
07-27-17,vpc-prod-vertex31,285.67 GiB,540.74 GiB,826.41 GiB
07-27-17,vpc-prod-vertex32,261.63 GiB,497.09 GiB,758.72 GiB
07-27-17,vpc-prod-vertex34,253.58 GiB,483.46 GiB,737.04 GiB
07-27-17,vpc-prod-vertex35,273.59 GiB,521.65 GiB,795.24 GiB
07-27-17,vpc-prod-vertex40,403.25 GiB,749.01 GiB,1.13 TiB
07-27-17,vpc-prod-vertex41,293.03 GiB,557.65 GiB,850.68 GiB
07-27-17,vpc-prod-vertex43,272.52 GiB,516.52 GiB,789.04 GiB
07-27-17,vpc-prod-vertex46,220.66 GiB,417.07 GiB,637.73 GiB
07-27-17,vpc-prod-vertex49,302.89 GiB,572.41 GiB,875.30 GiB
07-27-17,vpc-prod-vertex52,241.26 GiB,461.54 GiB,702.80 GiB
07-27-17,vpc-prod-vertex55,506.59 GiB,893.38 GiB,1.37 TiB
