DATE,Server Name,Data IN,Data OUT,Total
07-19-17,vpc-prod-vertex01,21.62 GiB,41.80 GiB,63.41 GiB
07-19-17,vpc-prod-vertex02,25.81 GiB,49.81 GiB,75.62 GiB
07-19-17,vpc-prod-vertex03,64.06 GiB,123.53 GiB,187.59 GiB
07-19-17,vpc-prod-vertex04,15.77 GiB,30.41 GiB,46.17 GiB
07-19-17,vpc-prod-vertex05,40.70 GiB,78.44 GiB,119.14 GiB
07-19-17,vpc-prod-vertex06,25.38 GiB,49.01 GiB,74.39 GiB
07-19-17,vpc-prod-vertex07,17.58 GiB,33.94 GiB,51.52 GiB
07-19-17,vpc-prod-vertex08,25.57 GiB,49.29 GiB,74.86 GiB
07-19-17,vpc-prod-vertex09,27.57 GiB,53.31 GiB,80.88 GiB
07-19-17,vpc-prod-vertex10,16.47 GiB,31.79 GiB,48.26 GiB
07-19-17,vpc-prod-vertex11,113.27 GiB,218.55 GiB,331.82 GiB
07-19-17,vpc-prod-vertex12,28.12 GiB,54.23 GiB,82.35 GiB
07-19-17,vpc-prod-vertex13,65.32 GiB,125.96 GiB,191.27 GiB
07-19-17,vpc-prod-vertex14,26.08 GiB,50.29 GiB,76.37 GiB
07-19-17,vpc-prod-vertex15,47.31 GiB,91.24 GiB,138.55 GiB
07-19-17,vpc-prod-vertex16,13.96 GiB,26.92 GiB,40.88 GiB
07-19-17,vpc-prod-vertex21,213.57 GiB,412.72 GiB,626.29 GiB
07-19-17,vpc-prod-vertex23,208.62 GiB,403.02 GiB,611.64 GiB
07-19-17,vpc-prod-vertex25,256.72 GiB,494.78 GiB,751.50 GiB
07-19-17,vpc-prod-vertex26,229.88 GiB,442.84 GiB,672.72 GiB
07-19-17,vpc-prod-vertex28,187.37 GiB,361.65 GiB,549.02 GiB
07-19-17,vpc-prod-vertex29,267.51 GiB,517.11 GiB,784.62 GiB
07-19-17,vpc-prod-vertex31,174.78 GiB,337.31 GiB,512.09 GiB
07-19-17,vpc-prod-vertex32,221.62 GiB,428.14 GiB,649.76 GiB
07-19-17,vpc-prod-vertex34,146.29 GiB,282.22 GiB,428.50 GiB
07-19-17,vpc-prod-vertex35,208.47 GiB,402.64 GiB,611.11 GiB
07-19-17,vpc-prod-vertex40,188.46 GiB,363.69 GiB,552.15 GiB
07-19-17,vpc-prod-vertex41,224.45 GiB,433.39 GiB,657.84 GiB
07-19-17,vpc-prod-vertex43,154.46 GiB,298.05 GiB,452.51 GiB
07-19-17,vpc-prod-vertex46,56.23 GiB,108.43 GiB,164.66 GiB
07-19-17,vpc-prod-vertex49,134.64 GiB,259.76 GiB,394.40 GiB
07-19-17,vpc-prod-vertex52,189.70 GiB,366.19 GiB,555.89 GiB
07-19-17,vpc-prod-vertex55,238.18 GiB,460.13 GiB,698.30 GiB
