DATE,Server Name,Data IN,Data OUT,Total
07-28-17,vpc-prod-vertex01,23.04 GiB,40.94 GiB,63.98 GiB
07-28-17,vpc-prod-vertex02,47.01 GiB,83.52 GiB,130.53 GiB
07-28-17,vpc-prod-vertex03,23.94 GiB,43.28 GiB,67.22 GiB
07-28-17,vpc-prod-vertex04,7.85 GiB,14.48 GiB,22.33 GiB
07-28-17,vpc-prod-vertex05,14.43 GiB,26.60 GiB,41.03 GiB
07-28-17,vpc-prod-vertex06,66.67 GiB,116.53 GiB,183.21 GiB
07-28-17,vpc-prod-vertex07,89.03 GiB,160.61 GiB,249.64 GiB
07-28-17,vpc-prod-vertex08,61.86 GiB,109.84 GiB,171.69 GiB
07-28-17,vpc-prod-vertex09,11.55 GiB,20.87 GiB,32.42 GiB
07-28-17,vpc-prod-vertex10,12.50 GiB,22.55 GiB,35.05 GiB
07-28-17,vpc-prod-vertex11,30.31 GiB,56.28 GiB,86.60 GiB
07-28-17,vpc-prod-vertex12,13.33 GiB,24.12 GiB,37.46 GiB
07-28-17,vpc-prod-vertex13,38.94 GiB,71.22 GiB,110.16 GiB
07-28-17,vpc-prod-vertex14,228.04 GiB,381.95 GiB,609.99 GiB
07-28-17,vpc-prod-vertex15,49.00 GiB,86.91 GiB,135.91 GiB
07-28-17,vpc-prod-vertex16,14.13 GiB,25.71 GiB,39.83 GiB
07-28-17,vpc-prod-vertex21,201.47 GiB,364.51 GiB,565.98 GiB
07-28-17,vpc-prod-vertex23,71.04 GiB,133.81 GiB,204.86 GiB
07-28-17,vpc-prod-vertex25,277.10 GiB,487.45 GiB,764.55 GiB
07-28-17,vpc-prod-vertex26,172.88 GiB,321.69 GiB,494.58 GiB
07-28-17,vpc-prod-vertex28,254.61 GiB,454.29 GiB,708.89 GiB
07-28-17,vpc-prod-vertex29,127.01 GiB,232.64 GiB,359.65 GiB
07-28-17,vpc-prod-vertex31,222.77 GiB,397.03 GiB,619.80 GiB
07-28-17,vpc-prod-vertex32,178.69 GiB,322.89 GiB,501.58 GiB
07-28-17,vpc-prod-vertex34,139.43 GiB,255.40 GiB,394.83 GiB
07-28-17,vpc-prod-vertex35,222.70 GiB,403.16 GiB,625.87 GiB
07-28-17,vpc-prod-vertex40,322.23 GiB,559.58 GiB,881.80 GiB
07-28-17,vpc-prod-vertex41,232.80 GiB,421.16 GiB,653.96 GiB
07-28-17,vpc-prod-vertex43,207.49 GiB,375.02 GiB,582.51 GiB
07-28-17,vpc-prod-vertex46,35.37 GiB,63.66 GiB,99.03 GiB
07-28-17,vpc-prod-vertex49,261.10 GiB,458.83 GiB,719.93 GiB
07-28-17,vpc-prod-vertex52,50.64 GiB,95.40 GiB,146.04 GiB
07-28-17,vpc-prod-vertex55,523.77 GiB,844.90 GiB,1.34 TiB
