DATE,Server Name,Data IN,Data OUT,Total
07-23-17,vpc-prod-vertex01,1.63 GiB,3.18 GiB,4.81 GiB
07-23-17,vpc-prod-vertex02,1.65 GiB,3.21 GiB,4.86 GiB
07-23-17,vpc-prod-vertex03,2.23 GiB,4.33 GiB,6.56 GiB
07-23-17,vpc-prod-vertex04,198.25 MiB,388.27 MiB,586.52 MiB
07-23-17,vpc-prod-vertex05,2.83 GiB,5.60 GiB,8.43 GiB
07-23-17,vpc-prod-vertex06,3.46 GiB,6.74 GiB,10.20 GiB
07-23-17,vpc-prod-vertex07,1.63 GiB,3.18 GiB,4.81 GiB
07-23-17,vpc-prod-vertex08,4.52 GiB,8.79 GiB,13.31 GiB
07-23-17,vpc-prod-vertex09,1.59 GiB,3.12 GiB,4.71 GiB
07-23-17,vpc-prod-vertex10,636.15 MiB,1.20 GiB,1.83 GiB
07-23-17,vpc-prod-vertex11,5.72 GiB,11.11 GiB,16.83 GiB
07-23-17,vpc-prod-vertex12,3.05 GiB,5.93 GiB,8.98 GiB
07-23-17,vpc-prod-vertex13,1.24 GiB,2.41 GiB,3.65 GiB
07-23-17,vpc-prod-vertex14,5.51 GiB,10.72 GiB,16.23 GiB
07-23-17,vpc-prod-vertex15,3.04 GiB,5.93 GiB,8.97 GiB
07-23-17,vpc-prod-vertex16,2.02 GiB,3.96 GiB,5.98 GiB
07-23-17,vpc-prod-vertex21,17.94 GiB,34.85 GiB,52.79 GiB
07-23-17,vpc-prod-vertex23,16.99 GiB,32.98 GiB,49.97 GiB
07-23-17,vpc-prod-vertex25,52.23 GiB,101.31 GiB,153.53 GiB
07-23-17,vpc-prod-vertex26,21.07 GiB,40.86 GiB,61.93 GiB
07-23-17,vpc-prod-vertex28,17.30 GiB,33.61 GiB,50.91 GiB
07-23-17,vpc-prod-vertex29,28.36 GiB,55.12 GiB,83.48 GiB
07-23-17,vpc-prod-vertex31,17.44 GiB,33.83 GiB,51.26 GiB
07-23-17,vpc-prod-vertex32,19.14 GiB,37.20 GiB,56.34 GiB
07-23-17,vpc-prod-vertex34,11.80 GiB,22.94 GiB,34.74 GiB
07-23-17,vpc-prod-vertex35,19.71 GiB,38.31 GiB,58.02 GiB
07-23-17,vpc-prod-vertex40,10.02 GiB,19.44 GiB,29.46 GiB
07-23-17,vpc-prod-vertex41,24.83 GiB,48.26 GiB,73.09 GiB
07-23-17,vpc-prod-vertex43,12.48 GiB,24.26 GiB,36.75 GiB
07-23-17,vpc-prod-vertex46,3.18 GiB,6.22 GiB,9.41 GiB
07-23-17,vpc-prod-vertex49,9.20 GiB,17.87 GiB,27.07 GiB
07-23-17,vpc-prod-vertex52,14.93 GiB,29.02 GiB,43.95 GiB
07-23-17,vpc-prod-vertex55,19.81 GiB,38.45 GiB,58.26 GiB
