DATE,Server Name,Data IN,Data OUT,Total
07-30-17,vpc-prod-vertex01,166.50 GiB,292.29 GiB,458.79 GiB
07-30-17,vpc-prod-vertex02,195.89 GiB,344.17 GiB,540.06 GiB
07-30-17,vpc-prod-vertex03,155.92 GiB,277.74 GiB,433.66 GiB
07-30-17,vpc-prod-vertex04,81.34 GiB,146.90 GiB,228.24 GiB
07-30-17,vpc-prod-vertex05,115.34 GiB,208.21 GiB,323.55 GiB
07-30-17,vpc-prod-vertex06,254.87 GiB,441.38 GiB,696.25 GiB
07-30-17,vpc-prod-vertex07,267.86 GiB,478.06 GiB,745.93 GiB
07-30-17,vpc-prod-vertex08,227.07 GiB,399.07 GiB,626.14 GiB
07-30-17,vpc-prod-vertex09,114.88 GiB,204.53 GiB,319.40 GiB
07-30-17,vpc-prod-vertex10,101.85 GiB,181.26 GiB,283.11 GiB
07-30-17,vpc-prod-vertex11,187.24 GiB,343.71 GiB,530.94 GiB
07-30-17,vpc-prod-vertex12,139.58 GiB,248.60 GiB,388.18 GiB
07-30-17,vpc-prod-vertex13,230.28 GiB,416.75 GiB,647.03 GiB
07-30-17,vpc-prod-vertex14,492.43 GiB,815.83 GiB,1.28 TiB
07-30-17,vpc-prod-vertex15,220.32 GiB,387.00 GiB,607.32 GiB
07-30-17,vpc-prod-vertex16,113.74 GiB,202.42 GiB,316.16 GiB
07-30-17,vpc-prod-vertex21,396.88 GiB,709.99 GiB,1.08 TiB
07-30-17,vpc-prod-vertex23,261.99 GiB,488.15 GiB,750.14 GiB
07-30-17,vpc-prod-vertex25,528.87 GiB,918.83 GiB,1.41 TiB
07-30-17,vpc-prod-vertex26,325.89 GiB,599.09 GiB,924.98 GiB
07-30-17,vpc-prod-vertex28,450.29 GiB,793.59 GiB,1.21 TiB
07-30-17,vpc-prod-vertex29,328.01 GiB,594.52 GiB,922.53 GiB
07-30-17,vpc-prod-vertex31,454.77 GiB,801.53 GiB,1.23 TiB
07-30-17,vpc-prod-vertex32,403.29 GiB,720.98 GiB,1.10 TiB
07-30-17,vpc-prod-vertex34,321.10 GiB,581.75 GiB,902.85 GiB
07-30-17,vpc-prod-vertex35,430.44 GiB,770.16 GiB,1.17 TiB
07-30-17,vpc-prod-vertex40,606.56 GiB,1.01 TiB,1.61 TiB
07-30-17,vpc-prod-vertex41,464.74 GiB,831.41 GiB,1.27 TiB
07-30-17,vpc-prod-vertex43,441.60 GiB,789.75 GiB,1.20 TiB
07-30-17,vpc-prod-vertex46,182.82 GiB,325.65 GiB,508.47 GiB
07-30-17,vpc-prod-vertex49,477.27 GiB,828.59 GiB,1.28 TiB
07-30-17,vpc-prod-vertex52,209.88 GiB,390.79 GiB,600.67 GiB
07-30-17,vpc-prod-vertex55,617.87 GiB,975.18 GiB,1.56 TiB
